[2026-03-20T14:45:44.769Z] RX /beatsnap | i:1
[2026-03-20T14:45:44.769Z] RX /autopilotloopcount | f:0
[2026-03-20T14:45:44.770Z] RX /beatsnap | i:1
[2026-03-20T14:45:44.770Z] RX /autopilotloopcount | f:0
[2026-03-20T14:45:44.770Z] RX /beatsnap | i:1
[2026-03-20T14:45:44.770Z] RX /autopilotloopcount | f:0
[2026-03-20T14:45:44.770Z] RX /beatsnap | i:1
[2026-03-20T14:45:44.771Z] RX /autopilotloopcount | f:0
[2026-03-20T14:45:44.771Z] RX /beatsnap | i:1
[2026-03-20T14:45:44.771Z] RX /autopilotloopcount | f:0
[2026-03-20T14:45:44.771Z] RX /beatsnap | i:1
[2026-03-20T14:45:44.771Z] RX /autopilotloopcount | f:0
[2026-03-20T14:45:44.772Z] RX /position/behaviour/maxdistance | f:0.4000000059604645
[2026-03-20T14:45:44.772Z] RX /position | f:0
[2026-03-20T14:45:44.772Z] RX /position | f:0
[2026-03-20T14:45:44.772Z] RX /direction | i:2
[2026-03-20T14:45:44.772Z] RX /playmode | i:0
[2026-03-20T14:45:44.772Z] RX /playmodeaway | i:0
[2026-03-20T14:45:44.772Z] RX /speed | f:0.25
[2026-03-20T14:45:44.773Z] RX /speed | f:0.25
[2026-03-20T14:45:44.773Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.773Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.773Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.773Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.773Z] RX /position/behaviour/maxdistance | f:0.4000000059604645
[2026-03-20T14:45:44.774Z] RX /position | f:0
[2026-03-20T14:45:44.774Z] RX /position | f:0
[2026-03-20T14:45:44.774Z] RX /direction | i:2
[2026-03-20T14:45:44.774Z] RX /playmode | i:0
[2026-03-20T14:45:44.774Z] RX /playmodeaway | i:0
[2026-03-20T14:45:44.774Z] RX /speed | f:0.25
[2026-03-20T14:45:44.774Z] RX /speed | f:0.25
[2026-03-20T14:45:44.775Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.775Z] RX /width | f:0.05859375
[2026-03-20T14:45:44.775Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.775Z] RX /height | f:0.032958984375
[2026-03-20T14:45:44.775Z] RX /opacity | f:0.5
[2026-03-20T14:45:44.776Z] RX /opacity | f:0.5
[2026-03-20T14:45:44.776Z] RX /position/behaviour/maxdistance | f:0.4000000059604645
[2026-03-20T14:45:44.776Z] RX /position | f:0
[2026-03-20T14:45:44.776Z] RX /position | f:0
[2026-03-20T14:45:44.776Z] RX /direction | i:2
